,count,mean,std,min,25%,50%,75%,max
f0_mean_hz,195.0,154.22864102564102,41.39006474907147,88.333,117.572,148.79,182.769,260.105
f0_max_hz,195.0,197.10491794871797,91.49154763503036,102.145,134.8625,175.829,224.2055,592.03
f0_min_hz,195.0,116.32463076923077,43.52141318199365,65.476,84.291,104.315,140.01850000000002,239.17
jitter_percent,195.0,0.006220461538461538,0.00484813369260256,0.00168,0.00346,0.00494,0.007365,0.03316
jitter_abs,195.0,4.395897435897436e-05,3.482190859976326e-05,7e-06,2e-05,3e-05,6e-05,0.00026
jitter_rap,195.0,0.003306410256410257,0.0029677744162016884,0.00068,0.00166,0.0025,0.003835,0.02144
jitter_ppq,195.0,0.003446358974358974,0.0027589766469679313,0.00092,0.00186,0.00269,0.003955,0.01958
jitter_ddp,195.0,0.009919948717948717,0.008903344355858987,0.00204,0.004985,0.00749,0.011505000000000001,0.06433
shimmer_local,195.0,0.0297091282051282,0.01885693185894681,0.00954,0.016505,0.02297,0.037885,0.11908
shimmer_db,195.0,0.2822512820512821,0.19487729006053414,0.085,0.1485,0.221,0.35,1.302
shimmer_apq3,195.0,0.015664153846153845,0.010153161595709018,0.00455,0.008245,0.01279,0.020265,0.05647
shimmer_apq5,195.0,0.017878256410256407,0.012023705538741727,0.0057,0.00958,0.01347,0.02238,0.0794
shimmer_apq,195.0,0.02408148717948718,0.016946736247029432,0.00719,0.01308,0.01826,0.0294,0.13778
shimmer_dda,195.0,0.04699261538461539,0.030459119431240397,0.01364,0.024735,0.03836,0.060795,0.16942
noise_to_harmonics_ratio,195.0,0.02484707692307692,0.04041844855606928,0.00065,0.005925,0.01166,0.02564,0.31482
harmonics_to_noise_ratio,195.0,21.885974358974355,4.425764269063427,8.441,19.198,22.085,25.075499999999998,33.047
rpde,195.0,0.4985355384615385,0.10394171413073468,0.25657,0.421306,0.495954,0.5875625,0.685151
dfa,195.0,0.7180990461538461,0.0553358303465968,0.574282,0.6747575,0.722254,0.7618815,0.825288
spread1,195.0,-5.684396743589745,1.090207763740309,-7.964984,-6.450096,-5.720868,-5.046192,-2.434031
spread2,195.0,0.22651034871794873,0.08340576262039776,0.006274,0.17435050000000002,0.218885,0.279234,0.450493
d2,195.0,2.3818260871794874,0.3827990465461168,1.423287,2.0991255,2.361532,2.636456,3.671155
ppe,195.0,0.20655164102564103,0.09011932248227507,0.044539,0.137451,0.194052,0.25298,0.527367
