feature,importance_mean,importance_std
dfa,0.06129032258064515,0.027905245747012877
spread2,0.056317204301075265,0.018710816767929198
f0_mean_hz,0.03239247311827957,0.012478302361701214
f0_max_hz,0.013709677419354842,0.008952056884595024
ppe,0.006317204301075285,0.006815192115100652
spread1,0.002822580645161321,0.003002460739743137
jitter_rap,0.0,0.0
jitter_abs,0.0,0.0
jitter_percent,0.0,0.0
f0_min_hz,0.0,0.0
jitter_ppq,0.0,0.0
jitter_ddp,0.0,0.0
shimmer_local,0.0,0.0
shimmer_db,0.0,0.0
shimmer_dda,0.0,0.0
shimmer_apq,0.0,0.0
shimmer_apq5,0.0,0.0
shimmer_apq3,0.0,0.0
noise_to_harmonics_ratio,0.0,0.0
rpde,0.0,0.0
d2,0.0,0.0
harmonics_to_noise_ratio,-2.2204460492503132e-17,4.440892098500627e-17
