repeat,fold,test_subjects,test_records,roc_auc,sensitivity,specificity,f1,accuracy,balanced_accuracy,threshold,tn,fp,fn,tp
1,1,8,49,0.9695945945945946,0.7567567567567568,1.0,0.8615384615384616,0.8163265306122449,0.8783783783783784,0.5,12.0,0.0,9.0,28.0
1,2,8,49,0.6396396396396397,0.918918918918919,0.0,0.8192771084337349,0.6938775510204082,0.4594594594594595,0.5,0.0,12.0,3.0,34.0
1,3,8,49,0.8333333333333334,0.918918918918919,0.4166666666666667,0.8717948717948718,0.7959183673469388,0.6677927927927928,0.5,5.0,7.0,3.0,34.0
1,4,8,48,0.7905092592592593,0.9722222222222222,0.75,0.9459459459459459,0.9166666666666666,0.8611111111111112,0.5,9.0,3.0,1.0,35.0
2,1,8,49,0.7319819819819819,0.7027027027027027,0.5,0.7536231884057971,0.6530612244897959,0.6013513513513513,0.5,6.0,6.0,11.0,26.0
2,2,8,49,0.9572072072072073,1.0,0.5,0.925,0.8775510204081632,0.75,0.5,6.0,6.0,0.0,37.0
2,3,8,49,0.8648648648648648,0.8648648648648649,0.75,0.8888888888888888,0.8367346938775511,0.8074324324324325,0.5,9.0,3.0,5.0,32.0
2,4,8,48,0.6875,0.6388888888888888,0.5,0.7076923076923077,0.6041666666666666,0.5694444444444444,0.5,6.0,6.0,13.0,23.0
3,1,8,49,0.9954954954954955,0.5675675675675675,1.0,0.7241379310344828,0.673469387755102,0.7837837837837838,0.5,12.0,0.0,16.0,21.0
3,2,8,49,0.6554054054054054,0.8108108108108109,0.5833333333333334,0.8333333333333334,0.7551020408163265,0.6970720720720721,0.5,7.0,5.0,7.0,30.0
3,3,8,49,0.6914414414414415,0.8918918918918919,0.5,0.868421052631579,0.7959183673469388,0.6959459459459459,0.5,6.0,6.0,4.0,33.0
3,4,8,48,0.9502314814814814,0.9444444444444444,0.3333333333333333,0.8717948717948718,0.7916666666666666,0.6388888888888888,0.5,4.0,8.0,2.0,34.0
4,1,8,49,0.9481981981981982,0.5945945945945946,1.0,0.7457627118644068,0.6938775510204082,0.7972972972972974,0.5,12.0,0.0,15.0,22.0
4,2,8,49,0.5945945945945946,0.9459459459459459,0.3333333333333333,0.875,0.7959183673469388,0.6396396396396397,0.5,4.0,8.0,2.0,35.0
4,3,8,49,0.8378378378378378,0.8918918918918919,0.5,0.868421052631579,0.7959183673469388,0.6959459459459459,0.5,6.0,6.0,4.0,33.0
4,4,8,48,0.7731481481481481,0.8611111111111112,0.5,0.8493150684931506,0.7708333333333334,0.6805555555555556,0.5,6.0,6.0,5.0,31.0
5,1,8,49,0.7972972972972974,0.7297297297297297,0.6666666666666666,0.7941176470588235,0.7142857142857143,0.6981981981981982,0.5,8.0,4.0,10.0,27.0
5,2,8,49,0.8986486486486487,0.8108108108108109,0.6666666666666666,0.8450704225352113,0.7755102040816326,0.7387387387387387,0.5,8.0,4.0,7.0,30.0
5,3,8,49,0.6801801801801802,0.8378378378378378,0.0,0.775,0.6326530612244898,0.4189189189189189,0.5,0.0,12.0,6.0,31.0
5,4,8,48,0.7407407407407407,0.8888888888888888,0.5,0.8648648648648649,0.7916666666666666,0.6944444444444444,0.5,6.0,6.0,4.0,32.0
